index;Sku;Style Id;Catalog;Category;Weight;TP 1;TP 2;MRP Old;Final MRP Old;Ajio MRP;Amazon MRP;Amazon FBA MRP;Flipkart MRP;Limeroad MRP;Myntra MRP;Paytm MRP;Snapdeal MRP;Custom_Size
0;Os206_3141_S;Os206_3141;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;S
1;Os206_3141_M;Os206_3141;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;M
2;Os206_3141_L;Os206_3141;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;L
3;Os206_3141_XL;Os206_3141;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;XL
4;Os206_3141_2XL;Os206_3141;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;2XL
5;Os206_3141_3XL;Os206_3141;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;3XL
6;Os223_3142_S;Os223_3142;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;S
7;Os223_3142_M;Os223_3142;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;M
8;Os223_3142_L;Os223_3142;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;L
9;Os223_3142_XL;Os223_3142;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;XL
10;Os223_3142_2XL;Os223_3142;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;2XL
11;Os223_3142_3XL;Os223_3142;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;3XL
12;Os212_3143_S;Os212_3143;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;S
13;Os212_3143_M;Os212_3143;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;M
14;Os212_3143_L;Os212_3143;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;L
15;Os212_3143_XL;Os212_3143;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;XL
16;Os212_3143_2XL;Os212_3143;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;2XL
17;Os212_3143_3XL;Os212_3143;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;3XL
18;Os214_3144_S;Os214_3144;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;S
19;Os214_3144_M;Os214_3144;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;M
20;Os214_3144_L;Os214_3144;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;L
21;Os214_3144_XL;Os214_3144;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;XL
22;Os214_3144_2XL;Os214_3144;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;2XL
23;Os214_3144_3XL;Os214_3144;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;3XL
24;Os207_3145_S;Os207_3145;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;S
25;Os207_3145_M;Os207_3145;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;M
26;Os207_3145_L;Os207_3145;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;L
27;Os207_3145_XL;Os207_3145;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;XL
28;Os207_3145_2XL;Os207_3145;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;2XL
29;Os207_3145_3XL;Os207_3145;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;3XL
30;Os202_3146_S;Os202_3146;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;S
31;Os202_3146_M;Os202_3146;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;M
32;Os202_3146_L;Os202_3146;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;L
33;Os202_3146_XL;Os202_3146;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;XL
34;Os202_3146_2XL;Os202_3146;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;2XL
35;Os202_3146_3XL;Os202_3146;Moments;Kurta;0.3;538;435.78;2178;2295;2295;2295;2295;2295;2295;2295;2295;2295;3XL
36;Os181_5051_S;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
37;Os181_5051_M;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
38;Os181_5051_L;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
39;Os181_5051_XL;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
40;Os181_5051_2XL;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
41;Os181_5051_3XL;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
42;Os191_5052_S;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
43;Os191_5052_M;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
