SKU,Style,Category,Size,Color
SET389-KR-NP-S,SET389,Set,S,
JNE3781-KR-XXXL,JNE3781,kurta,3XL,
JNE3371-KR-XL,JNE3371,kurta,XL,
J0341-DR-L,J0341,Western Dress,L,
JNE3671-TU-XXXL,JNE3671,Top,3XL,
SET264-KR-NP-XL,SET264,Set,XL,
J0095-SET-L,J0095,Set,L,
JNE3405-KR-S,JNE3405,kurta,S,
SET200-KR-NP-A-XXXL,SET200,Set,3XL,
JNE3461-KR-XXL,JNE3461,kurta,XXL,
JNE3160-KR-G-S,JNE3160,kurta,S,
JNE3500-KR-XS,JNE3500,kurta,XS,
JNE3405-KR-XS,JNE3405,kurta,XS,
SET182-KR-DH-XS,SET182,Set,XS,
J0351-SET-L,J0351,Set,L,
PJNE3368-KR-6XL,PJNE3368,kurta,6XL,
JNE3721-KR-XXL,JNE3721,kurta,XXL,
JNE3405-KR-XL,JNE3405,kurta,XL,
JNE3697-KR-XXL,JNE3697,kurta,XXL,
SET254-KR-NP-XS,SET254,Set,XS,
JNE3795-KR-XXXL,JNE3795,kurta,3XL,
SET345-KR-NP-M,SET345,Set,M,
JNE3373-KR-L,JNE3373,kurta,L,
SET291-KR-PP-M,SET291,Set,M,
MEN5002-KR-L,MEN5002,kurta,L,
NW030-TP-PJ-XS,NW030,Set,XS,
JNE3415-KR-XXXL,JNE3415,kurta,3XL,
PJNE2199-KR-N-4XL,PJNE2199,kurta,4XL,
JNE3567-KR-M,JNE3567,kurta,M,
JNE2132-KR-398-XXXL,JNE2132,kurta,3XL,
J0341-DR-S,J0341,Western Dress,S,
MEN5009-KR-XL,MEN5009,kurta,XL,
J0011-LCD-M,J0011,Set,M,
JNE3766-KR-M,JNE3766,kurta,M,
JNE3373-KR-XL,JNE3373,kurta,XL,
MEN5001-KR-XL,MEN5001,kurta,XL,
SET345-KR-NP-L,SET345,Set,L,
JNE3787-KR-S,JNE3787,kurta,S,
JNE3543-KR-S,JNE3543,kurta,S,
JNE3405-KR-L,JNE3405,kurta,L,
J0211-DR-XXL,J0211,Ethnic Dress,XXL,
J0401-DR-XXXL,J0401,Western Dress,3XL,
JNE2153-KR-278-A-M,JNE2153,kurta,M,
SET360-KR-NP-M,SET360,Set,M,
SET268-KR-NP-L,SET268,Set,L,
SET183-KR-DH-S,SET183,Set,S,
J0230-SKD-L,J0230,Set,L,
JNE3744-TU-S,JNE3744,Top,S,
JNE3510-KR-S,JNE3510,kurta,S,
JNE3405-KR-M,JNE3405,kurta,M,
J0186-SET-S,J0186,Set,S,
J0003-SET-M,J0003,Set,M,
SET282-KR-PP-M,SET282,Set,M,
JNE1407-BLACK-KR-UDF18-XL,JNE1407,kurta,XL,
J0301-TP-L,J0301,Top,L,
JNE3869-DR-S,JNE3869,Western Dress,S,
SET324-KR-NP-XS,SET324,Set,XS,
JNE3405-KR-L,JNE3405,kurta,L,
SET279-LC-S,SET279,Set,S,
JNE2014-KR-178-XXL,JNE2014,kurta,XXL,
NW005-ST-PJ-XL,NW005,Set,XL,
JNE2270-KR-487-A-M,JNE2270,kurta,M,
JNE3579-KR-M,JNE3579,kurta,M,
SET347-KR-NP-XS,SET347,Set,XS,
SET264-KR-NP-M,SET264,Set,M,
JNE3373-KR-XXL,JNE3373,kurta,XXL,
SET333-KR-DPT-XXL,SET333,Set,XXL,
JNE3645-TP-N-L,JNE3645,Top,L,
SET233-KR-PP-L,SET233,Set,L,
J0381-SKD-XXXL,J0381,Set,3XL,
JNE3068-KR-A-XL,JNE3068,kurta,XL,
JNE3718-KR-M,JNE3718,kurta,M,
SET386-KR-NP-S,SET386,Set,S,
JNE3745-KR-XXL,JNE3745,kurta,XXL,
JNE3467-KR-XL,JNE3467,kurta,XL,
JNE3721-KR-L,JNE3721,kurta,L,
JNE3405-KR-XXL,JNE3405,kurta,XXL,
SET295-KR-NP-XXXL,SET295,Set,3XL,
JNE3861-DR-XL,JNE3861,Western Dress,XL,
SET288-KR-NP-XXXL,SET288,Set,3XL,
SET394-KR-NP-XXXL,SET394,Set,3XL,
SET397-KR-NP-XXXL,SET397,Set,3XL,
MEN5002-KR-XXL,MEN5002,kurta,XXL,
SET377-KR-NP-M,SET377,Set,M,
JNE3510-KR-M,JNE3510,kurta,M,
BTM038-PP-XXXL,BTM038,Bottom,3XL,
J0343-DR-M,J0343,Western Dress,M,
J0341-DR-XL,J0341,Western Dress,XL,
J0295-DR-XXL,J0295,Western Dress,XXL,
JNE3560-KR-M,JNE3560,kurta,M,
J0333-DR-XXXL,J0333,Western Dress,3XL,
SET389-KR-NP-M,SET389,Set,M,
JNE3801-KR-XXXL,JNE3801,kurta,3XL,
SET098-KR-PP-M,SET098,Set,M,
MEN5013-KR-L,MEN5013,kurta,L,
JNE3405-KR-L,JNE3405,kurta,L,
J0003-SET-L,J0003,Set,L,
JNE3718-KR-XXXL,JNE3718,kurta,3XL,
SET347-KR-NP-S,SET347,Set,S,
JNE3405-KR-XXL,JNE3405,kurta,XXL,
JNE3391-KR-XXL,JNE3391,kurta,XXL,
SET347-KR-NP-S,SET347,Set,S,
SET277-KR-NP-XXL,SET277,Set,XXL,
J0293-DR-S,J0293,Western Dress,S,
SET268-KR-NP-L,SET268,Set,L,
