SKU,Style,Category,Size,Color
Os206_3141_S,Os206_3141,Kurta,S,
Os206_3141_M,Os206_3141,Kurta,M,
Os206_3141_L,Os206_3141,Kurta,L,
Os206_3141_XL,Os206_3141,Kurta,XL,
Os206_3141_2XL,Os206_3141,Kurta,2XL,
Os206_3141_3XL,Os206_3141,Kurta,3XL,
Os223_3142_S,Os223_3142,Kurta,S,
Os223_3142_M,Os223_3142,Kurta,M,
Os223_3142_L,Os223_3142,Kurta,L,
Os223_3142_XL,Os223_3142,Kurta,XL,
Os223_3142_2XL,Os223_3142,Kurta,2XL,
Os223_3142_3XL,Os223_3142,Kurta,3XL,
Os212_3143_S,Os212_3143,Kurta,S,
Os212_3143_M,Os212_3143,Kurta,M,
Os212_3143_L,Os212_3143,Kurta,L,
Os212_3143_XL,Os212_3143,Kurta,XL,
Os212_3143_2XL,Os212_3143,Kurta,2XL,
Os212_3143_3XL,Os212_3143,Kurta,3XL,
Os214_3144_S,Os214_3144,Kurta,S,
Os214_3144_M,Os214_3144,Kurta,M,
Os214_3144_L,Os214_3144,Kurta,L,
Os214_3144_XL,Os214_3144,Kurta,XL,
Os214_3144_2XL,Os214_3144,Kurta,2XL,
Os214_3144_3XL,Os214_3144,Kurta,3XL,
Os207_3145_S,Os207_3145,Kurta,S,
Os207_3145_M,Os207_3145,Kurta,M,
Os207_3145_L,Os207_3145,Kurta,L,
Os207_3145_XL,Os207_3145,Kurta,XL,
Os207_3145_2XL,Os207_3145,Kurta,2XL,
Os207_3145_3XL,Os207_3145,Kurta,3XL,
Os202_3146_S,Os202_3146,Kurta,S,
Os202_3146_M,Os202_3146,Kurta,M,
Os202_3146_L,Os202_3146,Kurta,L,
Os202_3146_XL,Os202_3146,Kurta,XL,
Os202_3146_2XL,Os202_3146,Kurta,2XL,
Os202_3146_3XL,Os202_3146,Kurta,3XL,
Os181_5051_S,Os181_5051,Kurta,S,
Os181_5051_M,Os181_5051,Kurta,M,
Os181_5051_L,Os181_5051,Kurta,L,
Os181_5051_XL,Os181_5051,Kurta,XL,
Os181_5051_2XL,Os181_5051,Kurta,2XL,
Os181_5051_3XL,Os181_5051,Kurta,3XL,
Os191_5052_S,Os191_5052,Kurta,S,
Os191_5052_M,Os191_5052,Kurta,M,
Os191_5052_L,Os191_5052,Kurta,L,
Os191_5052_XL,Os191_5052,Kurta,XL,
Os191_5052_2XL,Os191_5052,Kurta,2XL,
Os191_5052_3XL,Os191_5052,Kurta,3XL,
Os197_5053_S,Os197_5053,Kurta,S,
Os197_5053_M,Os197_5053,Kurta,M,
Os197_5053_L,Os197_5053,Kurta,L,
Os197_5053_XL,Os197_5053,Kurta,XL,
Os197_5053_2XL,Os197_5053,Kurta,2XL,
Os197_5053_3XL,Os197_5053,Kurta,3XL,
OS219_5054_S,OS219_5054,Kurta,S,
OS219_5054_M,OS219_5054,Kurta,M,
OS219_5054_L,OS219_5054,Kurta,L,
OS219_5054_XL,OS219_5054,Kurta,XL,
OS219_5054_2XL,OS219_5054,Kurta,2XL,
OS219_5054_3XL,OS219_5054,Kurta,3XL,
Os195_5055_S,Os195_5055,Kurta,S,
Os195_5055_M,Os195_5055,Kurta,M,
Os195_5055_L,Os195_5055,Kurta,L,
Os195_5055_XL,Os195_5055,Kurta,XL,
Os195_5055_2XL,Os195_5055,Kurta,2XL,
Os195_5055_3XL,Os195_5055,Kurta,3XL,
Os189_5056_S,Os189_5056,Kurta,S,
Os189_5056_M,Os189_5056,Kurta,M,
Os189_5056_L,Os189_5056,Kurta,L,
Os189_5056_XL,Os189_5056,Kurta,XL,
Os189_5056_2XL,Os189_5056,Kurta,2XL,
Os189_5056_3XL,Os189_5056,Kurta,3XL,
Os182_5057_S,Os182_5057,Kurta,S,
Os182_5057_M,Os182_5057,Kurta,M,
Os182_5057_L,Os182_5057,Kurta,L,
Os182_5057_XL,Os182_5057,Kurta,XL,
Os182_5057_2XL,Os182_5057,Kurta,2XL,
Os182_5057_3XL,Os182_5057,Kurta,3XL,
Os209_5058_S,Os209_5058,Kurta,S,
Os209_5058_M,Os209_5058,Kurta,M,
Os209_5058_L,Os209_5058,Kurta,L,
Os209_5058_XL,Os209_5058,Kurta,XL,
Os209_5058_2XL,Os209_5058,Kurta,2XL,
Os209_5058_3XL,Os209_5058,Kurta,3XL,
Os218_3151_S,Os218_3151,Kurta,S,
Os218_3151_M,Os218_3151,Kurta,M,
Os218_3151_L,Os218_3151,Kurta,L,
Os218_3151_XL,Os218_3151,Kurta,XL,
Os218_3151_2XL,Os218_3151,Kurta,2XL,
Os218_3151_3XL,Os218_3151,Kurta,3XL,
Os201_3152_S,Os201_3152,Kurta,S,
Os201_3152_M,Os201_3152,Kurta,M,
Os201_3152_L,Os201_3152,Kurta,L,
Os201_3152_XL,Os201_3152,Kurta,XL,
Os201_3152_2XL,Os201_3152,Kurta,2XL,
Os201_3152_3XL,Os201_3152,Kurta,3XL,
Os175_3153_S,Os175_3153,Kurta,S,
Os175_3153_M,Os175_3153,Kurta,M,
Os175_3153_L,Os175_3153,Kurta,L,
Os175_3153_XL,Os175_3153,Kurta,XL,
Os175_3153_2XL,Os175_3153,Kurta,2XL,
Os175_3153_3XL,Os175_3153,Kurta,3XL,
Os220_3154_S,Os220_3154,Kurta,S,
Os220_3154_M,Os220_3154,Kurta,M,
Os220_3154_L,Os220_3154,Kurta,L,
Os220_3154_XL,Os220_3154,Kurta,XL,
Os220_3154_2XL,Os220_3154,Kurta,2XL,
Os220_3154_3XL,Os220_3154,Kurta,3XL,
Os174_3155_S,Os174_3155,Kurta,S,
Os174_3155_M,Os174_3155,Kurta,M,
Os174_3155_L,Os174_3155,Kurta,L,
Os174_3155_XL,Os174_3155,Kurta,XL,
Os174_3155_2XL,Os174_3155,Kurta,2XL,
Os174_3155_3XL,Os174_3155,Kurta,3XL,
Os222_3156_S,Os222_3156,Kurta,S,
Os222_3156_M,Os222_3156,Kurta,M,
Os222_3156_L,Os222_3156,Kurta,L,
Os222_3156_XL,Os222_3156,Kurta,XL,
Os222_3156_2XL,Os222_3156,Kurta,2XL,
Os222_3156_3XL,Os222_3156,Kurta,3XL,
Os228_1432_S,Os228_1432,Kurta Set,S,
Os228_1432_M,Os228_1432,Kurta Set,M,
Os228_1432_L,Os228_1432,Kurta Set,L,
Os228_1432_XL,Os228_1432,Kurta Set,XL,
Os228_1432_2XL,Os228_1432,Kurta Set,2XL,
Os228_1432_3XL,Os228_1432,Kurta Set,3XL,
Os227_1437_S,Os227_1437,Kurta Set,S,
Os227_1437_M,Os227_1437,Kurta Set,M,
Os227_1437_L,Os227_1437,Kurta Set,L,
Os227_1437_XL,Os227_1437,Kurta Set,XL,
Os227_1437_2XL,Os227_1437,Kurta Set,2XL,
Os227_1437_3XL,Os227_1437,Kurta Set,3XL,
OS224_1433_S,OS224_1433,Kurta Set,S,
OS224_1433_M,OS224_1433,Kurta Set,M,
OS224_1433_L,OS224_1433,Kurta Set,L,
OS224_1433_XL,OS224_1433,Kurta Set,XL,
OS224_1433_2XL,OS224_1433,Kurta Set,2XL,
OS224_1433_3XL,OS224_1433,Kurta Set,3XL,
Os232_1431_S,Os232_1431,Kurta Set,S,
Os232_1431_M,Os232_1431,Kurta Set,M,
Os232_1431_L,Os232_1431,Kurta Set,L,
Os232_1431_XL,Os232_1431,Kurta Set,XL,
Os232_1431_2XL,Os232_1431,Kurta Set,2XL,
Os232_1431_3XL,Os232_1431,Kurta Set,3XL,
Os226_1436_S,Os226_1436,Kurta Set,S,
Os226_1436_M,Os226_1436,Kurta Set,M,
Os226_1436_L,Os226_1436,Kurta Set,L,
Os226_1436_XL,Os226_1436,Kurta Set,XL,
Os226_1436_2XL,Os226_1436,Kurta Set,2XL,
Os226_1436_3XL,Os226_1436,Kurta Set,3XL,
Os230_1438_S,Os230_1438,Kurta Set,S,
Os230_1438_M,Os230_1438,Kurta Set,M,
Os230_1438_L,Os230_1438,Kurta Set,L,
Os230_1438_XL,Os230_1438,Kurta Set,XL,
Os230_1438_2XL,Os230_1438,Kurta Set,2XL,
Os230_1438_3XL,Os230_1438,Kurta Set,3XL,
Os225_1434_S,Os225_1434,Kurta Set,S,
Os225_1434_M,Os225_1434,Kurta Set,M,
Os225_1434_L,Os225_1434,Kurta Set,L,
Os225_1434_XL,Os225_1434,Kurta Set,XL,
Os225_1434_2XL,Os225_1434,Kurta Set,2XL,
Os225_1434_3XL,Os225_1434,Kurta Set,3XL,
Os229_1435_S,Os229_1435,Kurta Set,S,
Os229_1435_M,Os229_1435,Kurta Set,M,
Os229_1435_L,Os229_1435,Kurta Set,L,
Os229_1435_XL,Os229_1435,Kurta Set,XL,
Os229_1435_2XL,Os229_1435,Kurta Set,2XL,
Os229_1435_3XL,Os229_1435,Kurta Set,3XL,
Os200_5041_S,Os200_5041,Kurta,S,
Os200_5041_M,Os200_5041,Kurta,M,
Os200_5041_L,Os200_5041,Kurta,L,
Os200_5041_XL,Os200_5041,Kurta,XL,
Os200_5041_2XL,Os200_5041,Kurta,2XL,
Os200_5041_3XL,Os200_5041,Kurta,3XL,
Os188_5042_S,Os188_5042,Kurta,S,
Os188_5042_M,Os188_5042,Kurta,M,
Os188_5042_L,Os188_5042,Kurta,L,
Os188_5042_XL,Os188_5042,Kurta,XL,
Os188_5042_2XL,Os188_5042,Kurta,2XL,
Os188_5042_3XL,Os188_5042,Kurta,3XL,
Os208_5043_S,Os208_5043,Kurta,S,
Os208_5043_M,Os208_5043,Kurta,M,
Os208_5043_L,Os208_5043,Kurta,L,
Os208_5043_XL,Os208_5043,Kurta,XL,
Os208_5043_2XL,Os208_5043,Kurta,2XL,
Os208_5043_3XL,Os208_5043,Kurta,3XL,
Os183_5044_S,Os183_5044,Kurta,S,
Os183_5044_M,Os183_5044,Kurta,M,
Os183_5044_L,Os183_5044,Kurta,L,
Os183_5044_XL,Os183_5044,Kurta,XL,
Os183_5044_2XL,Os183_5044,Kurta,2XL,
Os183_5044_3XL,Os183_5044,Kurta,3XL,
Os198_5045_S,Os198_5045,Kurta,S,
Os198_5045_M,Os198_5045,Kurta,M,
Os198_5045_L,Os198_5045,Kurta,L,
Os198_5045_XL,Os198_5045,Kurta,XL,
Os198_5045_2XL,Os198_5045,Kurta,2XL,
Os198_5045_3XL,Os198_5045,Kurta,3XL,
Os199_5046_S,Os199_5046,Kurta,S,
Os199_5046_M,Os199_5046,Kurta,M,
Os199_5046_L,Os199_5046,Kurta,L,
Os199_5046_XL,Os199_5046,Kurta,XL,
Os199_5046_2XL,Os199_5046,Kurta,2XL,
Os199_5046_3XL,Os199_5046,Kurta,3XL,
Os170_5048_S,Os170_5048,Kurta,S,
Os170_5048_M,Os170_5048,Kurta,M,
Os170_5048_L,Os170_5048,Kurta,L,
Os170_5048_XL,Os170_5048,Kurta,XL,
Os170_5048_2XL,Os170_5048,Kurta,2XL,
Os170_5048_3XL,Os170_5048,Kurta,3XL,
Os235_1112_S,Os235_1112,Kurta,S,
Os235_1112_M,Os235_1112,Kurta,M,
Os235_1112_L,Os235_1112,Kurta,L,
Os235_1112_XL,Os235_1112,Kurta,XL,
Os235_1112_2XL,Os235_1112,Kurta,2XL,
Os235_1112_3XL,Os235_1112,Kurta,3XL,
Os233_1058_S,Os233_1058,Kurta,S,
Os233_1058_M,Os233_1058,Kurta,M,
Os233_1058_L,Os233_1058,Kurta,L,
Os233_1058_XL,Os233_1058,Kurta,XL,
Os233_1058_2XL,Os233_1058,Kurta,2XL,
Os233_1058_3XL,Os233_1058,Kurta,3XL,
Os179_1116_S,Os179_1116,Kurta,S,
Os179_1116_M,Os179_1116,Kurta,M,
Os179_1116_L,Os179_1116,Kurta,L,
Os179_1116_XL,Os179_1116,Kurta,XL,
Os179_1116_2XL,Os179_1116,Kurta,2XL,
Os179_1116_3XL,Os179_1116,Kurta,3XL,
Os210_3137_S,Os210_3137,Kurta,S,
Os210_3137_M,Os210_3137,Kurta,M,
Os210_3137_L,Os210_3137,Kurta,L,
Os210_3137_XL,Os210_3137,Kurta,XL,
Os210_3137_2XL,Os210_3137,Kurta,2XL,
Os210_3137_3XL,Os210_3137,Kurta,3XL,
Os177_1057_S,Os177_1057,Kurta,S,
Os177_1057_M,Os177_1057,Kurta,M,
Os177_1057_L,Os177_1057,Kurta,L,
Os177_1057_XL,Os177_1057,Kurta,XL,
Os177_1057_2XL,Os177_1057,Kurta,2XL,
Os177_1057_3XL,Os177_1057,Kurta,3XL,
Os180_3134_S,Os180_3134,Kurta,S,
